EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Flood,Newfoundland,1/14/1978 12:00:00 AM,"Newfoundland, January 14-16, 1978. Unseasonable weather conditions caused flooding of  the Grand Codroy River on the west coast of Newfoundland. The Grand Codroy River Bridge (standing since 1926) required major reconstruction because it collapsed under pressure of ice floes in the flooded river. The loss of a link between the north and south sides of the river stranded 1500 residents of Codroy, Melville, Cape Anguille and O'Regans. In addition, 244 m of telephone cable previously attached to the bridge were destroyed, leaving the four communities without phone service. In April 1978, a temporary single-lane bridge constructed 16 km downstream from the original bridge. ",0,0,0,5235779,858324.4,1/16/1978 12:00:00 AM,3588601,1647178,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Corner Brook NL,12/27/1977 12:00:00 AM,"Corner Brook NL, December 27, 1977. Across Newfoundland, the combination of rain and warm temperatures on Christmas Day and Boxing Day melted the accumulation of snow and caused flooding, damaging city streets in Corner Brook.",0,0,0,,,12/27/1977 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern and Central Ontario,3/13/1977 12:00:00 AM,"Southern and central Ontario, March 13, 1977. Areas along the Saugeen and Maitland Rivers in southwestern Ontario and the city of Sault Ste. Marie that experienced flooding.  Many roads were closed along the Saugeen and Maitland Rivers.",0,0,0,,,3/13/1977 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Fort McMurray, Rainbow Lake AB",1/1/1977 12:00:00 AM,"Fort McMurray, Rainbow Lake AB, 1977.",0,0,0,,,1/1/1977 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Toronto ON,8/27/1976 12:00:00 AM,"Toronto ON, August 27, 1976. At least five roads were closed due to flooding.",0,0,0,,,8/27/1976 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Grand Falls NL,5/4/1976 12:00:00 AM,"Grand Falls NL, May 4, 1976. Spring runoff caused the rise of the Exploits River which inundated a section of highway west of Grand Falls;  two people were drowned when their vehicle went off the highway and into 3 meters of water.",2,0,0,,,5/4/1976 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Assiniboine River MB,4/1/1976 12:00:00 AM,"Assiniboine River MB, April 1976. Record flooding was reported.",0,0,0,4545103,876868.7,4/1/1976 12:00:00 AM,2134809,2410294,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,3/31/1976 12:00:00 AM,"Saint John River Basin NB, March 31 – April 5, 1976. Town of Woodstock, Villages of Hartland, Ste Anne de Madawaska, Perth-Andover and Green River, New Brunswick; some river systems in the northeast of New Brunswick were also affected; cyclonic storms and high snowmelt rate contributed to cause severe ice jam flooding, inundated regional highways and municipal streets as well as railroads and bridges; massive ponds formed in some residential areas; losses in crops and livestock; a State of Emergency was declared; 400 people were evacuated as the flood submerged about 200 homes, several businesses, and a junior high school; 2 people died, one from a trail derailment, the other drowned.",2,0,400,975000,188102.9,4/5/1976 12:00:00 AM,155109,819891,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saskatchewan,3/1/1976 12:00:00 AM,"Saskatchewan, March - April 15, 1976. During the spring season, there was large amount of rainfall in many areas of Saskatchewan. Flood damage to hospitals, churches, private property, small businesses and farmland occurred. Roads also required raising. Areas affected were the following: Souris River, Moose Jaw River, Qu'Appelle River, and Qu'Appelle Lakes.",0,0,0,1947804,375782.1,4/15/1976 12:00:00 AM,530877,1416927,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Quebec,3/1/1976 12:00:00 AM,"Quebec, March 1, 1976. Province-wide flooding caused by an unusually wet spring combined with heavy runoff from spring snowmelt affected several areas of the province; most notably the Lower St. Lawrence/Gaspésie, Saguenay/Lake St. John, Quebec, Montreal, Trois-Rivières, Eastern Townships, Abitibi/Temiscamingue and Outaouais areas. In total, approximately 104 communities located along and in the vicinity of the Souris and Assiniboine River were flooded. Public, private and municipal land was damaged.",0,0,0,20500000,3954983.9,7/15/1976 12:00:00 AM,7582330,12917670,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Regina SK,6/25/1975 12:00:00 AM,"Regina SK, June 25, 1975. Over 120 mm of rain fell of Regina and the surrounding area, causing major property damage.",0,0,0,2828222,585149.4,6/25/1975 12:00:00 AM,640274,2187948,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern AB,6/1/1975 12:00:00 AM,"Southwestern AB, June 1975.  A severe rain storm occurred over the upper portion of the Oldman River Basin in southwestern Alberta.  During a four-day period, the storm deluged the area with 360 mm of rain.  The storm resulted in flooding along the Oldman River and many of its tributaries.  Flood damage occurred in the towns of Waterton, Pincher Creek, Fort Macleod, Cardston and the City of Lethbridge.  At Fort Macleod, one resident drowned in the flood waters of the Oldman River.",1,0,0,,,6/1/1975 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saskatchewan,4/1/1975 12:00:00 AM,"Saskatchewan, April-May 1975. An extremely high snow accumulation combined with long periods of rain during the runoff period led to the spring flooding of Saskatchewan. The annual flood volume was 5 times above average.  Both the North and South Saskatchewan Rivers experienced flooding, along with the Qu\'Appelle River basin.  Damage to homes, small businesses and public works occurred in 69 municipalities and 1 village. There were eroded banks, damaged churches, hospitals, roads and farmland. Losses in livestock and grains were reported. Raising of road grades was necessary.",0,0,0,1893852,391831.4,5/31/1975 12:00:00 AM,493226,1400626,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Cambridge/Waterloo Region ON,5/17/1974 12:00:00 AM,"Grand River, Cambridge ON, May 17-21, 1974. Many roads and businesses were closed in Cambridge; some small dams (one on the Grand River and two on the Maitland River) were damaged and utility services were disrupted in some areas.",0,0,0,,,5/21/1974 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Hay River Township, south shore of Great Slave Lake NT",5/2/1974 12:00:00 AM,"Hay River Township, south shore of Great Slave Lake NT, May 2, 1974. Flooding caused by ice jamming required evacuation of West Channel residents.",0,0,0,,,5/2/1974 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,4/29/1974 12:00:00 AM,"Saint John River NB, April 29, 1974. Heavy spring runoff and ice jams caused flooding along the Restigouche and Saint John Rivers beginning on April 29 and continuing to the middle of May. Major areas affected were along the Saint John River from Mactaquac through Fredericton to Maugerville and Sheffield. Residential property, private property, small businesses, schools, public property, churches and other buildings sustained damages. Highways, roads and bridges were flooded over and washed out. There were crop and livestock losses, also major damage to the fishing industry. Some minor flooding occurred along the following rivers: Keswick, Nashwaak, Tay, Oromocto and Jemseg.",0,0,0,800539,183329.5,4/29/1974 12:00:00 AM,73470,727069,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Central and Southern Manitoba,4/1/1974 12:00:00 AM,"Central and Southern Manitoba, April-May 1974. Severe flooding occurred in central and southern Manitoba on practically all rivers and river systems; many people had to be evacuated; although the natural discharge of water was greater than the flood in 1966, the city of Winnipeg avoided major damage due to the Red River Floodway, the portage Diversion, and the Shellmouth Dam, which were flood control programs intentionally set-up to reduce flooding in Winnipeg.",0,0,0,14523061,3325891.8,5/31/1974 12:00:00 AM,11464005,3059056,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Central and Northern Alberta,3/1/1974 12:00:00 AM,"Central and Northern AB, Spring 1974.  Adverse weather and flooding had major impacts in most of Alberta.  Heavy snowfall accumulations prevented the harvest of 1973 crops.  Farmers could not plant 1974 seeds either since the soil was saturated.  Spring flooding damaged private property, agricultural lands, livestock, roads, and bridges.",0,0,0,8532000,1953893.1,6/30/1974 12:00:00 AM,4246073,4285927,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saskatchewan,1/1/1974 12:00:00 AM,"Saskatchewan, 1974. In the winter of 1974, near-record snowfall resulted in extensive spring flooding across the province; farms and ranch land were flooded, while roads and bridges were damaged along the Carrot and Red Deer rivers; the communities of Pierceland and Green Lake on the Beaver River were affected; the cities of Moose Jaw, Regina and Lumsden, on the Qu'Appelle River basin, received major flood damage; in Moose Jaw, the Moose Jaw River, Thunder Creek and Spring Creek overflowed their banks and caused the flooding of 60 city blocks (including 480 homes) and the evacuation of 1400 people (April 18 and 19); the Wascana Creek overflowed its banks in Regina.",0,0,1400,6611800,1514152.7,1/1/1974 12:00:00 AM,4151261,2460539,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Maniwaki QC,1/1/1974 12:00:00 AM,"Maniwaki QC, January-June 1974. Over 300 municipalities were affected by the province-wide flooding caused by an unusually wet spring combined with excessive runoff of spring snowmelt;  flooding centred on the Gatineau, Ottawa, Richelieu, Saint Lawrence, Chateauguay, Saint-Maurice, and Chaudière Rivers; over 1000 homes and 600 summer cottages were flooded; approximately 7000 people were evacuated; in Maniwaki, damages were high as 3000 residents had to be evacuated; the communities of Wakefield, Chelsea, and Pointe-Gatineau, downstream from Maniwaki, were also affected.",0,0,10000,21765136,4984382.3,6/30/1974 12:00:00 AM,8670477,13094659,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,,,,,,,,,,,,,,,,,
,4/27/1973 12:00:00 AM,"Saint John River basin NB, April 27 - May 5, 1973. The Sheffield-Maugerville area (downstream from Fredericton), and Fredericton were some of the communities that were flooded; the pulp and paper industry was affected.  The centre of the Province reported 68 mm of rain.  The 60 cm of snow on the frozen ground increased the volume of water which was running into the river.  Over 2,500 private homes were flooded and 536 families (1,600 persons) were forced to evacuate their homes in the central part of the Province.  Only one death has been attributed to the flooding.  Major losses to crops have resulted from the high water, erosion, and loss of greenhouse plants.",,,,,,,,,,,,,,,,,,,
,1,0,1600,7311000,1858728.8,5/5/1973 12:00:00 AM,4225495,3085505,,,,,,0,0,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Lake Huron ON,3/1/1973 12:00:00 AM,"Lake Huron ON, March 1973. The southern coast of Lake Huron from Sarnia to Bayfield was hit by major storms in the months of March and April; heavy damage was reported.",0,0,0,,,4/30/1973 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Smoky and Peace River Basins AB,6/11/1972 12:00:00 AM,"Smoky and Peace River basins AB, June 11-13, 1972. More than 150 mm of rain fell over parts of the Peace River basin southwest of Grande Prairie.  On June 13, a State of Emergency was declared in the town of Grande Prairie as flood water from the Wapiti River inundated the water treatment plant.  Strict water rationing was brought into effect and all non-essential water use was curtailed.  Some local industries were shut down and elementary schools closed.",0,0,105,,,6/13/1972 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Corner Brook NL,5/15/1972 12:00:00 AM,"Corner Brook NL, May 15, 1972. Spring runoff accompanied by rainfall caused flooding affecting communities on the Port au Prince Peninsula and area;  damage to CNR; in Corner Brook, a 3-year old child drowned when swept away by a swollen brook behind her home.",1,0,0,,,5/15/1972 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Prince George BC,5/1/1972 12:00:00 AM,"Fraser River at Prince George BC, May 1972. Freshet flooding caused significant damage along the Fraser River; an above-average snowfall, and substantial mountain snowpacks, followed by high temperatures in late May resulted in severe flooding at the end of May and into June; the Fraser River peaked three times in June, flooding both the upper and lower Fraser River Valley, affecting several communities (upstream communities of Kamloops and Prince George, and downstream communities of Surrey and Hope).",0,0,0,5300000,1452054.8,5/1/1972 12:00:00 AM,1662223,3637777,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Richelieu River QC,4/1/1972 12:00:00 AM,"Richelieu River QC, April-June 1972. Serious flooding throughout the province, notably that of the Richelieu which affected land from Missisquoi Bay to Saint-Jean, lasting from mid-April to the beginning of June.",0,0,0,,,6/1/1972 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint-Jean QC,5/1/1971 12:00:00 AM,"Saint-Jean QC, May 1971. The Richelieu River overflowed to cover the surrounding area up to 72 kilometres in distance, reaching a height of 2.44 m of water; 65% of the damage costs were directed to the rural sector; basements in Saint-Jean were flooded.",0,0,0,,,5/1/1971 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Montreal QC,4/1/1971 12:00:00 AM,"Montreal QC, April 1971. Flooding at the mouth of the Outaouais on Lac des Deux-Montagnes and of the St. Lawrence from the southwest corner of Montreal island to Lake Saint-Pierre.",0,0,0,,,4/30/1971 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Nova Scotia,2/13/1971 12:00:00 AM,"Nova Scotia, February 13-15, 1971.  Floods due to heavy rains and high temperatures, which caused snowmelt and ice jamming. There was widespread flood damage; homes and businesses flooded, highways and roads inundated.",,,,,,2/15/1971 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Central Ontario,6/27/1970 12:00:00 AM,"Central Ontario, June 27-28, 1970. Areas along the Spanish, Wanapetei, Blind, Little White, Goulais and Mississagi Rivers, as well as the city of Sault Ste. Marie experienced flooding; several businesses and roads were closed due to the flooding.  Most of the damages were reported in Sault Ste. Marie and on the Spanish, Wanapetei and Blind Rivers.",0,0,0,,,6/28/1970 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,4/30/1970 12:00:00 AM,"Winnipeg MB, April 30, 1970. Severe flooding in the Winnipeg area of the Red River.",0,0,0,,,4/30/1970 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Chaudière River QC,4/22/1970 12:00:00 AM,"Québec, April 1970. The year of 1970 was marked by two exceptional floods.  One of the St. Maurice, Mattawin, l'Assomption and Maskinonge Rivers on May 5, 1970 and the other in the Chaudière River Basin on April 22, 1970.",0,0,0,,,5/5/1970 12:00:00 AM,0,0,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,2/2/1970 12:00:00 AM,"Saint John River basin NB, February 2-6, 1970. Snowmelt, ice jams and heavy rainfall caused flooding in New Brunswick; a series of ice jams in six rivers caused the destruction of 32 bridges and caused the damage of 124 other bridges. Extensive damage was done to private homes, farmsteads, farm equipment, fishing gear,  industrial and commercial companies. Over 600 properties were damaged.  One person died when a barn collapsed, and two others drowned.",3,0,0,3737000,1104532,2/6/1970 12:00:00 AM,1550023,2186977,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Newfoundland,5/19/1969 12:00:00 AM,"NF, May 19-21, 1969.  Widespread flooding caused by heavy rainfall and snowmelt; railway traffic disrupted, highways washed out, homes and buildings inundated. Several municipal agencies assisted in the flood relief.",0,0,0,,,5/21/1969 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Iroquois NB,5/11/1969 12:00:00 AM,"Iroquois NB, May 11, 1969. Spring runoff created flood conditions throughout the upper portion of the Saint John River basin, New Brunswick; a 9-year old child drowned in a river at Iroquois, Madawaska County.",1,0,0,,,5/11/1969 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,5/2/1969 12:00:00 AM,"Winnipeg MB, May 2, 1969. Severe flooding in the Winnipeg area of the Red River.",0,0,0,,,5/2/1969 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Qu'Appelle River Basin SK,1/1/1969 12:00:00 AM,"Qu'Appelle River SK, April 1969.  Flooding was caused by a rapid spring snowmelt following high fall and winter precipitation. Twelve to 14 thousand acres of agricultural land were flooded. There was urban flooding in Moose Jaw; highways, roads and bridges were damaged, and a train derailed by washout.",0,0,0,,,1/1/1969 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southwestern and Southern Ontario,2/2/1968 12:00:00 AM,"Southwestern and Southern Ontario, February 2, 1968. Areas around Kettle Creek, the Thames and Ausable Rivers, the St. Clair and Niagara regions and the cities of Bayfield and Toronto experienced some flooding in February 1968.",0,0,0,,,2/2/1968 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Baie-Comeau QC,11/3/1966 12:00:00 AM,"Baie-Comeau QC, November 3, 1966. An exceptional fall flood on the north bank of the St. Lawrence River, Québec; the region of Baie-Saint-Paul - Baie-Comeau reported the most severe damage, while the effects of the flood reached the region of Batiscan à Sept-Îles; three people died at Pointe-aux-Anglais on the Côte-Nord, two others died at Charlevoix.",5,0,0,,,11/3/1966 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,4/14/1966 12:00:00 AM,"Winnipeg MB, April 14, 1966. Spring runoff and heavy rains caused extensive damage.",0,0,0,,,4/14/1966 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,St. Lawrence River QC,1/1/1965 12:00:00 AM,"St. Lawrence River QC, 1965. A flood was caused by an ice jam 20 km downstream from Montréal; damage was reported by several communities and 20 people died.",20,0,0,,,1/1/1965 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Hay River Township, south shore of Great Slave Lake NT",5/3/1963 12:00:00 AM,"Hay River Township, south shore of Great Slave Lake NT, May 3, 1963. Major flooding caused by ice jamming in Old Town and Indian Village required evacuation of the community of Hay River.",0,0,1800,,,5/3/1963 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southeastern New Brunswick,3/31/1962 12:00:00 AM,"Southeastern New Brunswick, March 31 - April 4, 1962.  Flooding was caused by heavy rainfall. Flooding occurred along many rivers in the southeastern portion of the province.  It was said to be the heaviest flooding in memory in Moncton.  Bridges, highways and railway lines were washed out; several communities and portions thereof isolated.  At least 50 people in Sackville were forced out of their homes.  Damage in St. John, Moncton, Sackville, and Kings County. ",,,,,,4/4/1962 12:00:00 AM,,,,,,,,584656,0
Disaster,Natural,Meteorological - Hydrological,Flood,Prince Edward Island,1/1/1962 12:00:00 AM,"Prince Edward Island, April 1962. A frontal storm hit the south coast of Prince Edward Island, depositing 180 mm of rain on top of heavy snow in early April; major flooding occurred, causing several washouts and damaging bridges and paved highways; the problem was increased by ice jams; the flood affected almost the entire province.",0,0,0,,,1/1/1962 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Northwestern British Columbia,10/10/1961 12:00:00 AM,"Northwestern British Columbia, October 10-14, 1961. Flash floods caused by storm with heavy rains, warm temperatures, and 'freak' winds. The flood on the Nass River was the largest recorded; Greenville and Aiyansh were cut-off. Homes were flooded, damaged, and destroyed in these two communities. Approximately 100 people were evacuated. Roads were washed-out, and many bridges in the area were damaged or destroyed. Much of the winter supply of fish and meat was lost at Greenville. The BC Red Cross Society provided aid.",0,0,100,,,10/14/1961 12:00:00 AM,,,,,,,,236364,0
Disaster,Natural,Meteorological - Hydrological,Flood,Timmins ON,8/31/1961 12:00:00 AM,"Timmins ON, August 31, 1961. A severe thunderstorm moved across the Timmins area; hail was reported; storm runoff from the Town Creek basin and runoff from streets and storm sewers of Timmins caused Town Creek to reach flood stage; Timmins was flooded resulting in road washouts, smashed houses and undercut foundations; a mother and four children drowned in a house along the bank of the creek.",5,0,0,,,8/31/1961 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,5/25/1961 12:00:00 AM,"Saint John River basin NB, May 25-31, 1961. Extensive rainfall from cyclonic storms over a long period of time added to the already substantial snowmelt resulted in widespread flooding across New Brunswick in late May 1961; significant damage was reported in the Saint John, Nashwaak, Miramichi and Tobique River basins; 1 drowning victim reported.",1,0,0,,,5/31/1961 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern and Central Ontario,5/9/1960 12:00:00 AM,"Southern and Central Ontario, May 9-14, 1960. Substantial flooding caused the closing of numerous roads in central Ontario.",0,0,0,,,5/14/1960 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,4/18/1960 12:00:00 AM,"Winnipeg MB, April 18, 1960. Severe flooding of the Red River in the Winnipeg area (damages unknown).",0,0,0,,,4/18/1960 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Thetford Mines QC,1/1/1957 12:00:00 AM,"Thetford Mines QC, August 1957. A convective storm brought torrential rainfall to the area near Thetford Mines; severe damage was caused in Thetford Mines and the Becancour Basin.",0,0,0,,,1/1/1957 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,8/30/1956 12:00:00 AM,"Southern Ontario, August 30-31, 1956. Due to flooding, several roads were closed and damage occurred along the Thames and Grand Rivers as well in the Toronto area.",0,0,0,,,8/31/1956 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Nova Scotia,1/3/1956 12:00:00 AM,"Nova Scotia, January 3-18, 1956. A prolonged warm spell from the month of December 1955-Feb 1956, caused province-wide flooding from snowmelt and ice jams; the major flooding occurred from Jan. 318, during a period referred to as the longest January thaw to date; 100 bridges were destroyed across the province.",0,0,0,,,1/18/1956 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Manitoba and Saskatchewan,1/1/1955 12:00:00 AM,"Manitoba and Saskatchewan, 1955. Most damage to rural areas. Roads and bridges were washed out or damaged and sowing of fields was inhibited due to water cover.",0,0,0,,,1/1/1955 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,2/15/1954 12:00:00 AM,"Southern Ontario, February 15-18, 1954. Communities on the shores of Lakes Ontario, Erie and Huron, including Toronto, experienced flooding; the Thames and Grand Rivers also experienced flooding which disrupted utilities and forced roads and businesses to close.",0,0,0,,,2/18/1954 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Lethbridge, Alberta",6/10/1953 12:00:00 AM,"In June of 1953, the Old Man River in Alberta experienced another  significant flooding event. The recorded peak flow was 110,000 cubic feet per second (cfs) and 7m (23.1 ft.) above normal river levels. The community power plant closed for a week, and the water supply was temporarily halved, causing over 150 individuals to be evacuated. As a result of this flood, Lethbridge rezoned the residential area in the floodplain to parkland (now Indian Battle Park), and encouraged several residents to relocate outside of the floodplain.",0,,,,,6/10/1953 12:00:00 AM,,,,,,,,,0
Disaster,Natural,Meteorological - Hydrological,Flood,Eastend SK,4/1/1952 12:00:00 AM,"Eastend SK, April 1952. In spring 1952, the Frenchman River flooded the town of Eastend; the flood was a result of a well-above-normal snowpack in the Cypress Hills and below-normal spring temperatures.",0,0,0,,,5/1/1952 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Stephenville Crossing, Summerside NL",12/19/1951 12:00:00 AM,"Stephenville Crossing, Summerside NL, December 19, 1951.  A severe storm hit Stephenville Crossing and Summerside, with winds gusting at 180 km/h and flooding the towns. The rail bed was washed-out and the rail line closed for three days. The train station was flooded as were major roads that were covered under 1.2 m of water. A sawmill at Summerside was destroyed, 15 telegraph poles were blown down, fishermen lost boats and gear, and thousands of lobsters washed ashore.",0,0,600,,,12/19/1951 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Bow River BC,1/1/1951 12:00:00 AM,"Bow River BC, 1951.",0,0,0,,,1/1/1951 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Sumas and Chilliwack BC,1/1/1951 12:00:00 AM,"Sumas and Chilliwack BC, February 1951. Floods caused the evacuation of 94 families (assume a family of 4).",0,0,376,,,1/1/1951 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Winnipeg MB,5/5/1950 12:00:00 AM,"Winnipeg MB, May to June 1950. 1 dead, 107,000 evacuated (one-third of the city), 5000 buildings damaged. A major flood occurred April - June 1950; a heavy snow cover caused the Red River to reach flood levels by April 22, 1950; a heavy rainfall in early May caused the river to stay above flood stage for 51 days; the water reached 4.6 metres in depth in low lying areas; 60 000 people were forced to evacuate as one tenth of the city of Winnipeg was covered in water; a volunteer pump operator drowned.",1,0,107000,,,6/15/1950 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,4/20/1950 12:00:00 AM,"Saint John River basin NB, April 20, 1950. Heavy rains and spring breakup caused ice jams and consequent flooding of several rivers throughout New Brunswick.",0,0,0,,,4/20/1950 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,4/4/1950 12:00:00 AM,"Southern Ontario, April 4-8, 1950. Widespread flooding across southern Ontario resulted in the closing of several roads.",0,0,0,,,4/8/1950 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Ontario,3/24/1950 12:00:00 AM,"Southern Ontario, March 24-29, 1950. Widespread flooding affected southern Ontario including Toronto; many roads were flooded, and businesses were closed along the Grand River.",0,0,0,,,3/29/1950 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,St. John's NL,9/14/1948 12:00:00 AM,"St. John's NL, September 14, 1948. Torrential rains caused at least three houses to collapse when hit by mudslides; in one area it was necessary to rescue residents by boat, one child died.",1,0,0,,,9/14/1948 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Fraser River BC,5/31/1948 12:00:00 AM,"Fraser River BC, May 31, 1948. The flood ripped apart dikes;  almost 10% of the area of the Fraser Valley (22,257 ha) was flooded; ten people died and 9000 were left homeless; 3000 buildings were destroyed and eighty-two bridges were washed out.  Flood damage spread 200 km in area. The Canadian Red Cross (CRC) gave aid to 3800 of the 16000 evacuees; 33000 volunteers worked on dikes.",10,0,16000,,,5/31/1948 12:00:00 AM,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,"Fernie, British Columbia",5/24/1948 12:00:00 AM,"Spring of 1948 was an exceptional flood year in western Canada. On May 24-25th, high floodwaters affected Fernie, BC. There were significant losses to critical infrastructure including washed out railroad tracks and telegraph/communication lines, at least 4 destroyed bridges, damaged dams in addition to property damage.",,0,0,,,5/25/1948 12:00:00 AM,,,,,,,,,
